id,uuid,product_id,category_id,category_name,product_name,product_price,product_image,product_link,product_api_sold,product_web_sold,product_vists
131,cl9uh688c007yupa0xb57qech,MLV575728167,MLV1499,Industrias,"Tapabocas Kn95 Negras Originales, Al Mayor Y Al Detal ",2.5,http://http2.mlstatic.com/D_918525-MLV51388427253_092022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-575728167-tapabocas-kn95-negras-originales-al-mayor-y-al-detal-_JM,500,850,132
52,cl9uh14nz0038upa0p4x4hefj,MLV560474244,MLV1648,Computación,Cartuchos Hp 664 662 667 122 74 75 61 901 60 21 22 670 675 ,11,http://http2.mlstatic.com/D_847845-MLV48860817557_012022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-560474244-cartuchos-hp-664-662-667-122-74-75-61-901-60-21-22-670-675-_JM,500,847,912
142,cl9uh6oat008kupa092rccco7,MLV719070151,MLV1430,"Ropa, Zapatos y Accesorios",Bolso Morral Mochila,7.99,http://http2.mlstatic.com/D_907147-MLV51961807242_102022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-719070151-bolso-morral-mochila-_JM,500,825,2037
150,cl9uh6udb0090upa05euhxgfg,MLV515047986,MLV1430,"Ropa, Zapatos y Accesorios",Mono Jogger Caballero ,10,http://http2.mlstatic.com/D_601626-MLV43572527013_092020-I.jpg,https://articulo.mercadolibre.com.ve/MLV-515047986-mono-jogger-caballero-_JM,500,797,304
92,cl9uh3o19005iupa0ud0yg8th,MLV710277851,MLV1000,"Electrónica, Audio y Video",Audífonos Inalámbricos F9 Bluetooth 5.0 + Power Bank,9.99,http://http2.mlstatic.com/D_974979-MLV52064510684_102022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-710277851-audifonos-inalambricos-f9-bluetooth-50-power-bank-_JM,500,794,2208
19,cl9ugq8rq0010upb4qlybpt1o,MLV477743228,MLV1071,Animales y Mascotas,"Kennel Moderna Roadrunner 1,puerta Plas Perros Hasta 5 Kilos",20,http://http2.mlstatic.com/D_814125-MLV25367517719_022017-I.jpg,https://articulo.mercadolibre.com.ve/MLV-477743228-kennel-moderna-roadrunner-1puerta-plas-perros-hasta-5-kilos-_JM,500,794,413
41,cl9uh0lh60028upa0696qnv24,MLV550746003,MLV445811,"Arte, Papelería y Mercería",Resma De Hojas Tamaño Carta Por Caja,54,http://http2.mlstatic.com/D_699387-MLV51935786881_102022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-550746003-resma-de-hojas-tamano-carta-por-caja-_JM,500,769,328
133,cl9uh69zr0082upa0gqhj05bu,MLV575728066,MLV1499,Industrias,"Tapabocas Kn95 Clásicas, 5 Capas Originales",2,http://http2.mlstatic.com/D_985747-MLV50482009947_062022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-575728066-tapabocas-kn95-clasicas-5-capas-originales-_JM,500,763,93
115,cl9uh5ti7006yupa0n8a3561y,MLV577587765,MLV1574,Hogar y Muebles,Metylosa Pega Papel Tapiz Supergel (metylan) Original100%,6,http://http2.mlstatic.com/D_600784-MLV42791530025_072020-I.jpg,https://articulo.mercadolibre.com.ve/MLV-577587765-metylosa-pega-papel-tapiz-supergel-metylan-original100-_JM,500,724,275
100,cl9uh5e2m0060upa0ghstmw9d,MLV571842719,MLV1246,Estética y Belleza,Medias De Compresion Unisex 15 20 Mmhg,5.5,http://http2.mlstatic.com/D_717940-MLV43232000241_082020-I.jpg,https://articulo.mercadolibre.com.ve/MLV-571842719-medias-de-compresion-unisex-15-20-mmhg-_JM,500,709,216
46,cl9uh0v3p002mupa0nczvbpsw,MLV575066909,MLV1648,Computación,Disco Duro Ssd De 120gb 2.5 ,16.95,http://http2.mlstatic.com/D_861548-MLA51719754719_092022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-575066909-disco-duro-ssd-de-120gb-25-_JM,500,705,273
